N,Time
1040000,0.61
1041000,0.58
1042000,0.58
1043000,0.6
1044000,0.54
1045000,0.52
1046000,0.43
1047000,0.59
1048000,0.46
1049000,0.54
1050000,0.48
1051000,0.53
1052000,0.55
1053000,0.6
1054000,0.51
1055000,0.4
1056000,0.36
1057000,0.46
1058000,0.34
1059000,0.4
1060000,0.35
1061000,0.44
1062000,0.41
1063000,0.39
1064000,0.37
1065000,0.48
1066000,0.36
1067000,0.52
1068000,0.47
1069000,0.41
1070000,0.41
1071000,0.49
1072000,0.37
1073000,0.46
1074000,0.53
1075000,0.38
1076000,0.54
1077000,0.37
1078000,0.49
1079000,0.4
1080000,0.48
1081000,0.51
1082000,0.49
1083000,0.4
1084000,0.5
1085000,0.4
1086000,0.47
1087000,0.45
1088000,0.39
1089000,0.42
1090000,0.42
1091000,0.45
1092000,0.45
1093000,0.49
1094000,0.39
1095000,0.36
1096000,0.48
1097000,0.46
1098000,0.47
1099000,0.51
1100000,0.39
1101000,0.45
1102000,0.41
1103000,0.44
1104000,0.51
1105000,0.48
1106000,0.51
1107000,0.39
1108000,0.41
1109000,0.45
1110000,0.46
1111000,0.43
1112000,0.52
1113000,0.37
1114000,0.45
1115000,0.41
1116000,0.52
1117000,0.52
1118000,0.43
1119000,0.38
1120000,0.45
1121000,0.43
1122000,0.45
1123000,0.39
1124000,0.44
1125000,0.44
1126000,0.43
1127000,0.44
1128000,0.42
1129000,0.51
1130000,0.49
1131000,0.5
1132000,0.45
1133000,0.46
1134000,0.45
1135000,0.55
1136000,0.65
1137000,0.66
1138000,0.54
1139000,0.62
1140000,0.66
1141000,0.51
1142000,0.51
1143000,0.64
1144000,0.63
1145000,0.55
1146000,0.61
1147000,0.51
1148000,0.68
1149000,0.68
1150000,0.61
1151000,0.62
1152000,0.61
1153000,0.54
1154000,0.57
1155000,0.55
1156000,0.57
1157000,0.6
1158000,0.59
1159000,0.52
1160000,0.6
1161000,0.65
1162000,0.67
1163000,0.53
1164000,0.52
1165000,0.51
1166000,0.53
1167000,0.63
1168000,0.67
1169000,0.52
1170000,0.68
1171000,0.55
1172000,0.54
1173000,0.55
1174000,0.6
1175000,0.69
1176000,0.6
1177000,0.58
1178000,0.49
1179000,0.68
1180000,0.58
1181000,0.58
1182000,0.5
1183000,0.62
1184000,0.6
1185000,0.54
1186000,0.53
1187000,0.64
1188000,0.55
1189000,0.67
1190000,0.66
1191000,0.66
1192000,0.56
1193000,0.71
1194000,0.73
1195000,0.51
1196000,0.66
1197000,0.52
1198000,0.68
1199000,0.76
1200000,0.81
1201000,0.62
1202000,0.59
1203000,0.65
1204000,0.55
1205000,0.46
1206000,0.42
1207000,0.54
1208000,0.52
1209000,0.45
1210000,0.47
1211000,0.39
1212000,0.42
1213000,0.51
1214000,0.43
1215000,0.5
1216000,0.51
1217000,0.56
1218000,0.43
1219000,0.54
1220000,0.43
1221000,0.53
1222000,0.47
1223000,0.47
1224000,0.43
1225000,0.5
1226000,0.55
1227000,0.46
1228000,0.51
1229000,0.44
1230000,0.64
1231000,0.62
1232000,0.44
1233000,0.56
1234000,0.61
1235000,0.49
1236000,0.55
1237000,0.56
1238000,0.61
1239000,0.56
1240000,0.63
1241000,0.6
1242000,0.72
1243000,0.59
1244000,0.57
1245000,0.55
1246000,0.6
1247000,0.49
1248000,0.48
1249000,0.51
1250000,0.47
1251000,0.62
1252000,0.47
1253000,0.46
1254000,0.61
1255000,0.46
1256000,0.61
1257000,0.46
1258000,0.43
1259000,0.5
1260000,0.62
1261000,0.44
1262000,0.55
1263000,0.55
1264000,0.59
1265000,0.57
1266000,0.78
1267000,0.56
1268000,0.68
1269000,0.59
1270000,0.67
1271000,0.84
1272000,0.53
1273000,0.6
1274000,0.59
1275000,0.73
1276000,0.74
1277000,0.59
1278000,0.74
1279000,0.83
1280000,0.54
1281000,0.78
1282000,0.81
1283000,0.68
1284000,0.76
1285000,0.83
1286000,0.83
1287000,0.85
1288000,0.53
1289000,0.63
1290000,0.57
1291000,0.82
1292000,0.65
1293000,0.69
1294000,0.56
1295000,0.78
1296000,0.67
1297000,0.75
1298000,0.69
1299000,0.55
1300000,0.72
1301000,0.61
1302000,0.76
1303000,0.85
1304000,0.75
1305000,0.72
1306000,0.66
1307000,0.75
1308000,0.71
1309000,0.66
1310000,0.76
1311000,0.62
1312000,0.67
1313000,0.61
1314000,0.68
1315000,0.5
1316000,0.43
1317000,0.57
1318000,0.44
1319000,0.5
1320000,0.46
1321000,0.54
1322000,0.5
1323000,0.51
1324000,0.54
1325000,0.45
1326000,0.5
1327000,0.46
1328000,0.48
1329000,0.52
1330000,0.68
1331000,0.51
1332000,0.71
1333000,0.58
1334000,0.57
1335000,0.55
1336000,0.46
1337000,0.5
1338000,0.66
1339000,0.56
1340000,0.46
1341000,0.61
1342000,0.55
1343000,0.78
1344000,0.69
1345000,0.55
1346000,0.68
1347000,0.49
1348000,0.65
1349000,0.72
1350000,0.57
1351000,0.5
1352000,0.67
1353000,0.49
1354000,0.5
1355000,0.48
1356000,0.49
1357000,0.64
1358000,0.6
1359000,0.68
1360000,0.7
1361000,0.65
1362000,0.52
1363000,0.68
1364000,0.46
1365000,0.68
1366000,0.76
1367000,0.88
1368000,0.59
1369000,0.85
1370000,0.64
1371000,0.63
1372000,0.87
1373000,0.83
1374000,0.84
1375000,0.6
1376000,0.89
1377000,0.82
1378000,0.88
1379000,0.69
1380000,0.71
1381000,0.72
1382000,0.73
1383000,0.63
1384000,0.83
1385000,0.7
1386000,0.8
1387000,0.76
1388000,0.77
1389000,0.9
1390000,0.88
1391000,0.62
1392000,0.86
1393000,0.64
1394000,0.76
1395000,0.81
1396000,0.79
1397000,0.77
1398000,0.72
1399000,0.66
1400000,0.84
1401000,0.75
1402000,0.71
1403000,0.8
1404000,0.61
1405000,0.69
1406000,0.84
1407000,0.69
1408000,0.85
1409000,0.7
1410000,0.68
1411000,0.76
1412000,0.77
1413000,0.62
1414000,0.91
1415000,0.72
1416000,0.68
1417000,0.88
1418000,0.85
1419000,0.72
1420000,0.81
1421000,0.51
1422000,0.53
1423000,0.55
1424000,0.69
1425000,0.55
1426000,0.68
1427000,0.51
1428000,0.61
1429000,0.58
1430000,0.61
1431000,0.6
1432000,0.56
1433000,0.63
1434000,0.5
1435000,0.56
1436000,0.66
1437000,0.54
1438000,0.6
1439000,0.59
1440000,0.65
1441000,0.5
1442000,0.55
1443000,0.64
1444000,0.49
1445000,0.6
1446000,0.54
1447000,0.53
1448000,0.54
1449000,0.67
1450000,0.62
1451000,0.69
1452000,0.56
1453000,0.5
1454000,0.71
1455000,0.58
1456000,0.57
1457000,0.54
1458000,0.54
1459000,0.66
1460000,0.55
1461000,0.74
1462000,0.67
1463000,0.7
1464000,0.73
1465000,0.7
1466000,0.67
1467000,0.65
1468000,0.58
1469000,0.71
1470000,0.67
1471000,0.71
1472000,0.59
1473000,0.51
1474000,0.7
1475000,0.84
1476000,0.83
1477000,0.95
1478000,1.01
1479000,0.94
1480000,0.88
1481000,0.76
1482000,0.94
1483000,0.73
1484000,0.7
1485000,0.65
1486000,0.67
1487000,0.67
1488000,0.85
1489000,0.92
1490000,0.89
1491000,0.98
1492000,0.67
1493000,0.76
1494000,0.93
1495000,0.88
1496000,0.78
1497000,0.74
1498000,0.7
1499000,0.75
1500000,0.83
1501000,0.83
1502000,0.71
1503000,0.79
1504000,0.82
1505000,0.66
1506000,0.66
1507000,0.64
1508000,0.72
1509000,0.67
1510000,0.66
1511000,0.8
1512000,0.93
1513000,0.74
1514000,0.74
1515000,0.73
1516000,0.78
1517000,0.94
1518000,0.91
1519000,0.67
1520000,0.68
1521000,0.6
1522000,0.74
1523000,0.57
1524000,0.65
1525000,0.52
1526000,0.56
1527000,0.61
1528000,0.81
1529000,0.65
1530000,0.5
1531000,0.57
1532000,0.64
1533000,0.57
1534000,0.67
1535000,0.6
1536000,0.62
1537000,0.57
1538000,0.64
1539000,0.71
1540000,0.68
1541000,0.6
1542000,0.66
1543000,0.76
1544000,0.59
1545000,0.58
1546000,0.61
1547000,0.66
1548000,0.67
1549000,0.55
1550000,0.51
1551000,0.51
1552000,0.53
1553000,0.75
1554000,0.52
1555000,0.56
1556000,0.52
1557000,0.78
1558000,0.64
1559000,0.6
1560000,0.66
1561000,0.63
1562000,0.69
1563000,0.53
1564000,0.78
1565000,0.74
1566000,0.56
1567000,0.52
1568000,0.83
1569000,0.67
1570000,0.8
1571000,0.72
1572000,0.9
1573000,0.83
1574000,0.67
1575000,0.7
1576000,0.8
1577000,0.94
1578000,0.78
1579000,0.97
1580000,0.89
1581000,0.92
1582000,0.8
1583000,0.67
1584000,0.8
1585000,0.72
1586000,0.84
1587000,0.83
1588000,0.85
1589000,0.92
1590000,0.93
1591000,0.82
1592000,0.93
1593000,0.66
1594000,0.69
1595000,0.89
1596000,0.78
1597000,0.84
1598000,0.93
1599000,0.93
1600000,0.66
1601000,0.98
1602000,0.81
1603000,0.7
1604000,0.85
1605000,0.78
1606000,0.83
1607000,0.83
1608000,0.93
1609000,0.76
1610000,0.67
1611000,0.89
1612000,0.97
1613000,0.88
1614000,0.68
1615000,0.82
1616000,0.69
1617000,0.76
1618000,0.73
1619000,0.73
1620000,0.6
1621000,0.55
1622000,0.64
1623000,0.76
1624000,0.61
1625000,0.81
1626000,0.72
1627000,0.73
1628000,0.62
1629000,0.75
1630000,0.53
1631000,0.68
1632000,0.76
1633000,0.58
1634000,0.69
1635000,0.85
1636000,0.64
1637000,0.76
1638000,0.57
1639000,0.76
1640000,0.57
1641000,0.56
1642000,0.54
1643000,0.77
1644000,0.67
1645000,0.65
1646000,0.71
1647000,0.57
1648000,0.7
1649000,0.56
1650000,0.73
1651000,0.75
1652000,0.72
1653000,0.65
1654000,0.75
1655000,0.62
1656000,0.69
1657000,0.55
1658000,0.63
1659000,0.57
1660000,0.79
1661000,0.68
1662000,0.71
1663000,0.66
1664000,0.8
1665000,0.56
1666000,0.98
1667000,0.79
1668000,0.85
1669000,0.89
1670000,1.04
1671000,0.85
1672000,0.8
1673000,0.95
1674000,0.83
1675000,0.92
1676000,0.77
1677000,1.01
1678000,0.85
1679000,0.77
1680000,0.84
1681000,0.97
1682000,0.97
1683000,0.91
1684000,0.9
1685000,0.79
1686000,0.91
1687000,0.73
1688000,0.92
1689000,1.0
1690000,0.94
1691000,0.89
1692000,1.01
1693000,0.89
1694000,1.02
1695000,0.82
1696000,0.87
1697000,1.04
1698000,0.92
1699000,1.09
1700000,1.05
1701000,0.9
1702000,1.09
1703000,1.0
1704000,0.83
1705000,0.86
1706000,0.91
1707000,0.73
1708000,0.84
1709000,0.99
1710000,0.99
1711000,0.56
1712000,0.88
1713000,0.66
1714000,0.88
1715000,0.83
1716000,0.88
1717000,0.61
1718000,0.71
1719000,0.89
1720000,0.62
1721000,0.65
1722000,0.97
1723000,0.79
1724000,0.68
1725000,0.9
1726000,0.57
1727000,0.58
1728000,0.81
1729000,0.61
1730000,0.8
1731000,0.76
1732000,0.81
1733000,0.83
1734000,0.89
1735000,0.9
1736000,0.57
1737000,0.79
1738000,0.87
1739000,0.66
1740000,0.81
1741000,0.66
1742000,0.62
1743000,0.9
1744000,0.64
1745000,0.74
1746000,0.79
1747000,0.76
1748000,0.76
1749000,0.88
1750000,1.03
1751000,0.83
1752000,1.1
1753000,1.05
1754000,0.75
1755000,0.87
1756000,1.08
1757000,0.95
1758000,1.06
1759000,0.92
1760000,0.83
1761000,0.76
1762000,1.03
1763000,0.93
1764000,1.1
1765000,0.87
1766000,0.87
1767000,0.84
1768000,0.92
1769000,0.77
1770000,1.0
1771000,0.99
1772000,0.76
1773000,1.11
1774000,0.76
1775000,0.96
1776000,0.85
1777000,0.86
1778000,0.75
1779000,1.11
1780000,0.98
1781000,0.82
1782000,0.93
1783000,0.89
1784000,0.79
1785000,0.92
1786000,0.81
1787000,0.92
1788000,0.91
1789000,0.94
1790000,0.71
1791000,0.68
1792000,0.79
1793000,0.73
1794000,0.65
1795000,0.74
1796000,0.61
1797000,0.83
1798000,0.6
1799000,0.88
1800000,0.93
1801000,0.74
1802000,0.78
1803000,0.66
1804000,0.73
1805000,0.86
1806000,0.74
1807000,0.8
1808000,0.86
1809000,0.66
1810000,0.88
1811000,0.71
1812000,0.85
1813000,0.62
1814000,0.63
1815000,0.63
1816000,0.78
1817000,0.63
1818000,0.61
1819000,0.84
1820000,0.95
1821000,0.63
1822000,0.63
1823000,0.79
1824000,0.88
1825000,0.88
1826000,0.72
1827000,0.63
1828000,0.63
1829000,0.89
1830000,0.75
1831000,0.97
1832000,0.65
1833000,1.0
1834000,0.81
1835000,0.89
1836000,0.92
1837000,1.15
1838000,1.12
1839000,1.08
1840000,1.18
1841000,1.18
1842000,0.88
1843000,0.82
1844000,0.8
1845000,1.11
1846000,1.04
1847000,0.97
1848000,0.87
1849000,0.83
1850000,1.02
1851000,0.83
1852000,0.79
1853000,0.9
1854000,1.19
1855000,1.05
1856000,1.11
1857000,0.85
1858000,0.87
1859000,1.04
1860000,0.96
1861000,1.17
1862000,0.82
1863000,0.85
1864000,0.79
1865000,0.99
1866000,1.01
1867000,1.03
1868000,1.14
1869000,1.01
1870000,0.94
1871000,0.96
1872000,1.01
1873000,0.98
