N,Time
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
11000,0.0
12000,0.0
13000,0.0
14000,0.0
15000,0.0
16000,0.0
17000,0.01
18000,0.01
19000,0.01
20000,0.01
21000,0.01
22000,0.01
23000,0.01
24000,0.01
25000,0.01
26000,0.01
27000,0.01
28000,0.01
29000,0.01
30000,0.01
31000,0.01
32000,0.01
33000,0.01
34000,0.01
35000,0.01
36000,0.01
37000,0.01
38000,0.01
39000,0.01
40000,0.01
41000,0.01
42000,0.01
43000,0.01
44000,0.02
45000,0.01
46000,0.01
47000,0.02
48000,0.02
49000,0.02
50000,0.02
51000,0.02
52000,0.02
53000,0.02
54000,0.02
55000,0.02
56000,0.02
57000,0.02
58000,0.02
59000,0.02
60000,0.02
61000,0.02
62000,0.02
63000,0.02
64000,0.02
65000,0.02
66000,0.03
67000,0.02
68000,0.02
69000,0.02
70000,0.03
71000,0.02
72000,0.02
73000,0.03
74000,0.03
75000,0.03
76000,0.03
77000,0.03
78000,0.03
79000,0.03
80000,0.03
81000,0.03
82000,0.03
83000,0.03
84000,0.03
85000,0.03
86000,0.03
87000,0.03
88000,0.03
89000,0.03
90000,0.03
91000,0.03
92000,0.03
93000,0.03
94000,0.03
95000,0.04
96000,0.03
97000,0.03
98000,0.04
99000,0.04
100000,0.04
101000,0.04
102000,0.04
103000,0.03
104000,0.04
105000,0.04
106000,0.04
107000,0.04
108000,0.04
109000,0.04
110000,0.04
111000,0.04
112000,0.04
113000,0.04
114000,0.04
115000,0.04
116000,0.04
117000,0.04
118000,0.04
119000,0.05
120000,0.04
121000,0.04
122000,0.04
123000,0.04
124000,0.04
125000,0.05
126000,0.04
127000,0.04
128000,0.04
129000,0.04
130000,0.04
131000,0.05
132000,0.05
133000,0.05
134000,0.05
135000,0.05
136000,0.04
137000,0.05
138000,0.05
139000,0.05
140000,0.05
141000,0.06
142000,0.05
143000,0.05
144000,0.05
145000,0.05
146000,0.06
147000,0.05
148000,0.05
149000,0.06
150000,0.06
151000,0.06
152000,0.05
153000,0.08
154000,0.05
155000,0.06
156000,0.06
157000,0.08
158000,0.07
159000,0.05
160000,0.06
161000,0.06
162000,0.07
163000,0.06
164000,0.07
165000,0.08
166000,0.08
167000,0.06
168000,0.07
169000,0.07
170000,0.06
171000,0.07
172000,0.06
173000,0.05
174000,0.06
175000,0.06
176000,0.07
177000,0.06
178000,0.06
179000,0.07
180000,0.06
181000,0.07
182000,0.08
183000,0.07
184000,0.07
185000,0.06
186000,0.07
187000,0.06
188000,0.06
189000,0.07
190000,0.06
191000,0.07
192000,0.07
193000,0.07
194000,0.07
195000,0.07
196000,0.07
197000,0.07
198000,0.07
199000,0.07
200000,0.07
201000,0.07
202000,0.07
203000,0.07
204000,0.07
205000,0.07
206000,0.06
207000,0.08
208000,0.07
209000,0.07
210000,0.07
211000,0.08
212000,0.08
213000,0.08
214000,0.08
215000,0.08
216000,0.1
217000,0.07
218000,0.1
219000,0.09
220000,0.09
221000,0.08
222000,0.08
223000,0.08
224000,0.08
225000,0.09
226000,0.07
227000,0.08
228000,0.09
229000,0.09
230000,0.09
231000,0.08
232000,0.09
233000,0.08
234000,0.09
235000,0.12
236000,0.09
237000,0.1
238000,0.1
239000,0.1
240000,0.09
241000,0.1
242000,0.1
243000,0.1
244000,0.1
245000,0.12
246000,0.09
247000,0.09
248000,0.09
249000,0.12
250000,0.08
251000,0.1
252000,0.09
253000,0.1
254000,0.1
255000,0.11
256000,0.1
257000,0.13
258000,0.1
259000,0.1
260000,0.09
261000,0.11
262000,0.09
263000,0.1
264000,0.13
265000,0.12
266000,0.1
267000,0.09
268000,0.12
269000,0.13
270000,0.11
271000,0.11
272000,0.15
273000,0.11
274000,0.12
275000,0.11
276000,0.1
277000,0.1
278000,0.12
279000,0.11
280000,0.12
281000,0.11
282000,0.11
283000,0.12
284000,0.11
285000,0.11
286000,0.12
287000,0.11
288000,0.12
289000,0.1
290000,0.13
291000,0.1
292000,0.11
293000,0.14
294000,0.15
295000,0.14
296000,0.13
297000,0.14
298000,0.12
299000,0.13
300000,0.13
301000,0.13
302000,0.11
303000,0.11
304000,0.15
305000,0.15
306000,0.12
307000,0.13
308000,0.12
309000,0.12
310000,0.11
311000,0.12
312000,0.13
313000,0.12
314000,0.14
315000,0.13
316000,0.14
317000,0.12
318000,0.13
319000,0.16
320000,0.18
321000,0.11
322000,0.15
323000,0.12
324000,0.11
325000,0.13
326000,0.12
327000,0.15
328000,0.17
329000,0.14
330000,0.14
331000,0.12
332000,0.14
333000,0.13
334000,0.12
335000,0.14
336000,0.19
337000,0.14
338000,0.14
339000,0.13
340000,0.13
341000,0.14
342000,0.12
343000,0.17
344000,0.14
345000,0.15
346000,0.13
347000,0.13
348000,0.15
349000,0.17
350000,0.14
351000,0.12
352000,0.14
353000,0.14
354000,0.14
355000,0.13
356000,0.12
357000,0.14
358000,0.15
359000,0.14
360000,0.15
361000,0.15
362000,0.15
363000,0.15
364000,0.14
365000,0.13
366000,0.17
367000,0.16
368000,0.18
369000,0.15
370000,0.15
371000,0.14
372000,0.15
373000,0.17
374000,0.18
375000,0.16
376000,0.16
377000,0.13
378000,0.14
379000,0.16
380000,0.16
381000,0.17
382000,0.15
383000,0.15
384000,0.14
385000,0.14
386000,0.15
387000,0.14
388000,0.13
389000,0.17
390000,0.14
391000,0.14
392000,0.18
393000,0.14
394000,0.16
395000,0.17
396000,0.14
397000,0.15
398000,0.17
399000,0.17
400000,0.16
401000,0.15
402000,0.15
403000,0.14
404000,0.16
405000,0.15
406000,0.15
407000,0.18
408000,0.14
409000,0.15
410000,0.17
411000,0.19
412000,0.17
413000,0.19
414000,0.15
415000,0.17
416000,0.18
417000,0.18
418000,0.17
419000,0.18
420000,0.16
421000,0.18
422000,0.18
423000,0.18
424000,0.17
425000,0.15
426000,0.18
427000,0.16
428000,0.16
429000,0.15
430000,0.15
431000,0.16
432000,0.15
433000,0.17
434000,0.16
435000,0.17
436000,0.18
437000,0.18
438000,0.17
439000,0.18
440000,0.19
441000,0.16
442000,0.2
443000,0.23
444000,0.16
445000,0.19
446000,0.17
447000,0.16
448000,0.19
449000,0.16
450000,0.18
451000,0.21
452000,0.17
453000,0.17
454000,0.16
455000,0.19
456000,0.21
457000,0.17
458000,0.21
459000,0.2
460000,0.17
461000,0.17
462000,0.2
463000,0.16
464000,0.2
465000,0.2
466000,0.19
467000,0.18
468000,0.2
469000,0.2
470000,0.21
471000,0.16
472000,0.16
473000,0.21
474000,0.16
475000,0.18
476000,0.2
477000,0.2
478000,0.17
479000,0.19
480000,0.2
481000,0.18
482000,0.19
483000,0.22
484000,0.18
485000,0.18
486000,0.17
487000,0.2
488000,0.17
489000,0.2
490000,0.18
491000,0.21
492000,0.21
493000,0.19
494000,0.17
495000,0.2
496000,0.19
497000,0.19
498000,0.18
499000,0.17
500000,0.22
501000,0.21
502000,0.2
503000,0.19
504000,0.2
505000,0.18
506000,0.22
507000,0.21
508000,0.22
509000,0.22
510000,0.18
511000,0.18
512000,0.19
513000,0.18
514000,0.22
515000,0.18
516000,0.18
517000,0.21
518000,0.19
519000,0.17
520000,0.23
521000,0.2
522000,0.21
523000,0.19
524000,0.23
525000,0.19
526000,0.22
527000,0.22
528000,0.21
529000,0.18
530000,0.25
531000,0.2
532000,0.18
533000,0.2
534000,0.19
535000,0.18
536000,0.19
537000,0.21
538000,0.19
539000,0.21
540000,0.22
541000,0.25
542000,0.24
543000,0.23
544000,0.21
545000,0.29
546000,0.27
547000,0.32
548000,0.35
549000,0.28
550000,0.26
551000,0.25
552000,0.29
553000,0.24
554000,0.28
555000,0.31
556000,0.27
557000,0.3
558000,0.29
559000,0.28
560000,0.3
561000,0.31
562000,0.27
563000,0.31
564000,0.3
565000,0.3
566000,0.24
567000,0.28
568000,0.29
569000,0.27
570000,0.28
571000,0.29
572000,0.31
573000,0.34
574000,0.28
575000,0.27
576000,0.29
577000,0.27
578000,0.3
579000,0.24
580000,0.27
581000,0.35
582000,0.26
583000,0.28
584000,0.32
585000,0.33
586000,0.33
587000,0.26
588000,0.26
589000,0.25
590000,0.31
591000,0.31
592000,0.25
593000,0.25
594000,0.33
595000,0.3
596000,0.32
597000,0.29
598000,0.26
599000,0.33
600000,0.31
601000,0.32
602000,0.3
603000,0.31
604000,0.3
605000,0.29
606000,0.27
607000,0.33
608000,0.33
609000,0.31
610000,0.28
611000,0.32
612000,0.36
613000,0.32
614000,0.31
615000,0.31
616000,0.32
617000,0.31
618000,0.3
619000,0.28
620000,0.34
621000,0.32
622000,0.36
623000,0.33
624000,0.32
625000,0.3
626000,0.27
627000,0.28
628000,0.31
629000,0.36
630000,0.35
631000,0.34
632000,0.36
633000,0.33
634000,0.28
635000,0.34
636000,0.27
637000,0.29
638000,0.35
639000,0.29
640000,0.34
641000,0.3
642000,0.32
643000,0.29
644000,0.34
645000,0.32
646000,0.32
647000,0.27
648000,0.29
649000,0.33
650000,0.3
651000,0.28
652000,0.35
653000,0.33
654000,0.39
655000,0.34
656000,0.33
657000,0.28
658000,0.36
659000,0.22
660000,0.27
661000,0.26
662000,0.22
663000,0.26
664000,0.27
665000,0.23
666000,0.29
667000,0.25
668000,0.27
669000,0.27
670000,0.26
671000,0.26
672000,0.26
673000,0.26
674000,0.26
675000,0.24
676000,0.29
677000,0.24
678000,0.27
679000,0.28
680000,0.27
681000,0.26
682000,0.25
683000,0.25
684000,0.25
685000,0.31
686000,0.3
687000,0.27
688000,0.25
689000,0.25
690000,0.27
691000,0.29
692000,0.25
693000,0.24
694000,0.31
695000,0.29
696000,0.3
697000,0.27
698000,0.28
699000,0.28
700000,0.23
701000,0.3
702000,0.27
703000,0.32
704000,0.28
705000,0.25
706000,0.24
707000,0.28
708000,0.3
709000,0.23
710000,0.29
711000,0.28
712000,0.31
713000,0.33
714000,0.32
715000,0.28
716000,0.32
717000,0.31
718000,0.27
719000,0.23
720000,0.31
721000,0.25
722000,0.28
723000,0.33
724000,0.3
725000,0.32
726000,0.29
727000,0.31
728000,0.28
729000,0.32
730000,0.29
731000,0.3
732000,0.32
733000,0.34
734000,0.31
735000,0.31
736000,0.34
737000,0.32
738000,0.31
739000,0.35
740000,0.29
741000,0.32
742000,0.29
743000,0.34
744000,0.27
745000,0.31
746000,0.33
747000,0.35
748000,0.27
749000,0.32
750000,0.28
751000,0.29
752000,0.3
753000,0.25
754000,0.26
755000,0.32
756000,0.29
757000,0.29
758000,0.3
759000,0.26
760000,0.3
761000,0.34
762000,0.29
763000,0.32
764000,0.27
765000,0.31
766000,0.26
767000,0.27
768000,0.32
769000,0.36
770000,0.34
771000,0.31
772000,0.26
773000,0.33
774000,0.33
775000,0.32
776000,0.4
777000,0.41
778000,0.45
779000,0.41
780000,0.33
781000,0.41
782000,0.39
783000,0.43
784000,0.39
785000,0.38
786000,0.41
787000,0.44
788000,0.44
789000,0.39
790000,0.4
791000,0.4
792000,0.34
793000,0.44
794000,0.36
795000,0.44
796000,0.5
797000,0.41
798000,0.45
799000,0.43
800000,0.39
801000,0.38
802000,0.38
803000,0.37
804000,0.47
805000,0.44
806000,0.38
807000,0.46
808000,0.43
809000,0.35
810000,0.4
811000,0.48
812000,0.43
813000,0.35
814000,0.37
815000,0.49
816000,0.45
817000,0.35
818000,0.5
819000,0.44
820000,0.44
821000,0.42
822000,0.39
823000,0.45
824000,0.39
825000,0.44
826000,0.4
827000,0.42
828000,0.48
829000,0.4
830000,0.43
831000,0.42
832000,0.44
833000,0.36
834000,0.4
835000,0.48
836000,0.43
837000,0.4
838000,0.37
839000,0.36
840000,0.48
841000,0.45
842000,0.48
843000,0.41
844000,0.48
845000,0.44
846000,0.47
847000,0.37
848000,0.47
849000,0.36
850000,0.36
851000,0.42
852000,0.49
853000,0.41
854000,0.44
855000,0.4
856000,0.36
857000,0.4
858000,0.39
859000,0.39
860000,0.39
861000,0.47
862000,0.49
863000,0.38
864000,0.42
865000,0.41
866000,0.41
867000,0.42
868000,0.4
869000,0.44
870000,0.4
871000,0.44
872000,0.48
873000,0.46
874000,0.32
875000,0.29
876000,0.33
877000,0.29
878000,0.34
879000,0.37
880000,0.36
881000,0.38
882000,0.35
883000,0.36
884000,0.28
885000,0.33
886000,0.34
887000,0.38
888000,0.34
889000,0.33
890000,0.36
891000,0.33
892000,0.36
893000,0.39
894000,0.32
895000,0.31
896000,0.39
897000,0.42
898000,0.33
899000,0.34
900000,0.37
901000,0.39
902000,0.3
903000,0.33
904000,0.38
905000,0.43
906000,0.31
907000,0.36
908000,0.32
909000,0.38
910000,0.34
911000,0.41
912000,0.33
913000,0.42
914000,0.36
915000,0.39
916000,0.33
917000,0.33
918000,0.32
919000,0.34
920000,0.32
921000,0.43
922000,0.34
923000,0.45
924000,0.35
925000,0.32
926000,0.31
927000,0.43
928000,0.38
929000,0.37
930000,0.35
931000,0.35
932000,0.44
933000,0.42
934000,0.37
935000,0.42
936000,0.34
937000,0.38
938000,0.44
939000,0.32
940000,0.35
941000,0.34
942000,0.4
943000,0.36
944000,0.39
945000,0.43
946000,0.41
947000,0.33
948000,0.33
949000,0.38
950000,0.33
951000,0.38
952000,0.45
953000,0.42
954000,0.33
955000,0.44
956000,0.39
957000,0.35
958000,0.45
959000,0.41
960000,0.41
961000,0.44
962000,0.45
963000,0.34
964000,0.37
965000,0.46
966000,0.47
967000,0.36
968000,0.42
969000,0.44
970000,0.38
971000,0.45
972000,0.44
973000,0.4
974000,0.35
975000,0.47
976000,0.38
977000,0.51
978000,0.48
979000,0.43
980000,0.61
981000,0.49
982000,0.54
983000,0.44
984000,0.54
985000,0.46
986000,0.53
987000,0.58
988000,0.43
989000,0.43
990000,0.55
991000,0.57
992000,0.53
993000,0.46
994000,0.58
995000,0.53
996000,0.57
997000,0.54
998000,0.63
999000,0.53
1000000,0.53
1001000,0.44
1002000,0.48
1003000,0.61
1004000,0.57
1005000,0.49
1006000,0.54
1007000,0.43
1008000,0.58
1009000,0.6
1010000,0.46
1011000,0.46
1012000,0.5
1013000,0.48
1014000,0.48
1015000,0.51
1016000,0.46
1017000,0.59
1018000,0.55
1019000,0.48
1020000,0.55
1021000,0.56
1022000,0.57
1023000,0.42
1024000,0.51
1025000,0.45
1026000,0.5
1027000,0.46
1028000,0.52
1029000,0.49
1030000,0.57
1031000,0.56
1032000,0.63
1033000,0.58
1034000,0.57
1035000,0.53
1036000,0.52
1037000,0.49
1038000,0.47
1039000,0.47
